iter	Passed	Remaining
835	98933	19408
836	99116	19302
837	99289	19194
838	99457	19085
839	99599	18971
840	99758	18860
841	99939	18753
842	100082	18639
843	100241	18528
844	100424	18421
845	100706	18331
846	100969	18238
847	101167	18133
848	101419	18038
849	101749	17955
850	102047	17867
851	102273	17765
852	102490	17662
853	102672	17552
854	102838	17440
855	102998	17326
856	103167	17214
857	103347	17104
858	103530	16993
859	103796	16897
860	103975	16785
861	104145	16672
862	104301	16557
863	104466	16443
864	104609	16326
865	104779	16212
866	104952	16100
867	105141	15989
868	105299	15873
869	105512	15766
870	105689	15653
871	105880	15542
872	106076	15431
873	106229	15314
874	106385	15197
875	106550	15082
876	106744	14971
877	106907	14855
878	107040	14734
879	107170	14614
880	107329	14497
881	107456	14376
882	107607	14258
883	107750	14139
884	107896	14020
885	108063	13904
886	108225	13787
887	108404	13672
888	108583	13557
889	108776	13444
890	109017	13336
891	109213	13223
892	109367	13104
893	109518	12985
894	109688	12868
895	109857	12751
896	110002	12631
897	110136	12509
898	110249	12386
899	110351	12261
900	110466	12137
901	110569	12013
902	110672	11888
903	110770	11763
904	110870	11638
905	110965	11512
906	111069	11388
907	111170	11264
908	111264	11138
909	111364	11014
910	111460	10889
911	111557	10764
912	111659	10640
913	111760	10515
914	111864	10391
915	111997	10270
916	112098	10146
917	112206	10022
918	112319	9899
919	112454	9778
920	112577	9656
921	112716	9535
922	112833	9413
923	112940	9289
924	113062	9167
925	113178	9044
926	113284	8921
927	113390	8797
928	113499	8674
929	113559	8547
930	113664	8424
931	113771	8300
932	113876	8177
933	113974	8053
934	114075	7930
935	114179	7807
936	114282	7683
937	114395	7561
938	114500	7438
939	114595	7314
940	114686	7190
941	114792	7067
942	114947	6948
943	115102	6828
944	115261	6708
945	115401	6587
946	115541	6466
947	115673	6344
948	115781	6222
949	115878	6098
950	116006	5977
951	116158	5856
952	116310	5736
953	116481	5616
954	116615	5494
955	116733	5372
956	116863	5250
957	116981	5128
958	117075	5005
959	117274	4886
960	117377	4763
961	117474	4640
962	117574	4517
963	117679	4394
964	117785	4272
965	117895	4149
966	117989	4026
967	118086	3903
968	118178	3780
969	118263	3657
970	118355	3534
971	118447	3412
972	118542	3289
973	118653	3167
974	118743	3044
975	118835	2922
976	118935	2799
977	119026	2677
978	119129	2555
979	119220	2433
980	119327	2311
981	119424	2189
982	119526	2067
983	119612	1944
984	119709	1822
985	119795	1700
986	119882	1579
987	119992	1457
988	120090	1335
989	120184	1213
990	120279	1092
991	120384	970
992	120488	849
993	120602	727
994	120711	606
995	120803	485
996	120893	363
997	120980	242
998	121079	121
999	121168	0
